Gatenavn,Kommentar,Dato,Tidpunkt,lat,lon
BERNHARD GETZ` GATE,Keysers Gt – Peder Claussøns Gt,09.05.2023,19.00-07.00,59.9171894,10.7425682
BERNHARD HERRES VEI,Hele,02.05.2023,07.00-19.00,59.9413727,10.6817493
BERNHUSVEIEN,Hele,20.04.2023,07.00-19.00,59.88173,10.785777
BERNT ANKERS GATE,Møllergate – Storgata,03.05.2023,19.00-07.00,59.9160271,10.7520193
BERNT KNUDSENS VEI,Hele,21.04.2023,07.00-19.00,59.8736112,10.8037655
BERTRAMJORDET,Hele,26.04.2023,07.00-19.00,59.8249305,10.7846968
BERTRAND NARVESENS VEI,Hovinveien – Gladengveien,04.05.2023,19.00-07.00,59.9198483,10.7896357
BERVENS LØKKE,Reichweins Gt – Observatoriegt,13.04.2023,07.00-19.00,59.9126619,10.7202499
BESTUM TVERRVEI,Hele,19.05.2023,07.00-19.00,59.9192612,10.6557635
BESTUMVEIEN,Fra Sigrud Iversen vei,19.05.2023,07.00-19.00,59.9200156,10.6502156
BESTUMVEIEN,til Sigrud Iversen.,26.05.2023,07.00-19.00,59.9200156,10.6502156
BETZY KJESLBERG VEI,Hele,26.04.2023,07.00-19.00,59.9532767,10.7727524
BEVERVEIEN,Hele,18.04.2023,07.00-19.00,59.9431535,10.8473974
BIDENKAPS GATE,Wessels Gate – Nordahl Bruns Gate,24.04.2023,07.00-19.00,59.919683,10.7409779
BIERMANNS GATE,Toftes Gate – Sagveien Ved Beierbrua,04.05.2023,19.00-07.00,59.9304831,10.7605202
BIKUBEN,Karl Andersenvei-Fredheimveien,02.05.2023,07.00-19.00,59.9440663,10.9246224
BINNEVEIEN,Hele,12.05.2023,07.00-19.00,59.9499491,10.6838648
BIRCH-REICHENWALDS GATE,Borger Withs Gate – Sandakerveien,26.04.2023,07.00-19.00,59.9430395,10.7746699
BIRGER OLIVERS VEI,Hele,21.04.2023,07.00-19.00,59.8752747,10.7935957
BIRGITTE HAMMERS VEI,Hele,13.04.2023,07.00-19.00,59.8542129,10.7906488
BISKOP GRIMELUNDS VEI,Hele,12.05.2023,07.00-19.00,59.9423915,10.6914806
BISKOP HEUCHS VEI,Hele,03.05.2023,07.00-19.00,59.9452984,10.7549905
BISKOP JENS NILSSØNS GATE,Strømsveien – Etterstadsletta Øst/Ende,03.05.2023,19.00-07.00,59.9083001,10.7955477
BISLETT GATA,Pilestredet – Dalsbergstien,10.05.2023,19.00-07.00,59.9242418,10.7328949
BISP NIKOLAS` GATE,Jens Bjelkes Gate – Kjølberggata,05.05.2023,07.00-19.00,59.9120261,10.7760839
BISPEGATA,Dronning Eufemias Gate – St. Halvards Gate,11.05.2023,19.00-07.00,59.9061316,10.7654631
BISPELUELIA,Hele,26.04.2023,07.00-19.00,59.8464619,10.8166361
BJARTVEIEN,Hele,02.05.2023,07.00-19.00,59.8953813,10.8491608
